"issue","subject","company","response","product_area","status","request_type","justification"
"I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.","Test Active in the system","HackerRank","","screen","replied","product_issue","Drafter failed: {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro\nPlease retry in 3.336307178s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count"",""quotaId"":""GenerateContentInputTokensPerModelPerDay-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-2.5-pro""}},{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count"",""quotaId"":""GenerateContentInputTokensPerModelPerMinute-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-2.5-pro""}},{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-2.5-pro""}},{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-2.5-pro""}}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""3s""}]}}"
"site is down & none of the pages are accessible","","None","Escalate to a human","","escalated","bug","Classifier marked escalation. Reason: The user reports a full-site outage, but no company is specified, so 'Unknown' is chosen. A full site being down is a critical 'bug'. Due to the severity and lack of company information, this requires immediate human 'escalation'. 'uncategorized' is chosen as a generic product area since the company is unknown."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?","HackerRank","Escalate to a human","","escalated","product_issue","Classifier failed: {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 45.656631912s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",""quotaDimensions"":{""model"":""gemini-2.5-flash"",""location"":""global""},""quotaValue"":""5""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""45s""}]}}. Escalating to be safe."
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time","HackerRank","Escalate to a human","","escalated","product_issue","Classifier failed: {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 44.782254048s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",""quotaDimensions"":{""model"":""gemini-2.5-flash"",""location"":""global""},""quotaValue"":""5""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""44s""}]}}. Escalating to be safe."
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account","","HackerRank","Escalate to a human","","escalated","product_issue","Classifier failed: {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 43.871309631s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",""quotaDimensions"":{""model"":""gemini-2.5-flash"",""location"":""global""},""quotaValue"":""5""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""43s""}]}}. Escalating to be safe."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?","","Claude","Escalate to a human","","escalated","product_issue","Classifier failed: {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 42.848061741s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",""quotaDimensions"":{""model"":""gemini-2.5-flash"",""location"":""global""},""quotaValue"":""5""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""42s""}]}}. Escalating to be safe."
"What is the name of the actor in Iron Man?","Urgent, please help","None","Escalate to a human","","escalated","product_issue","Classifier failed: {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 42.013092414s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-2.5-flash""},""quotaValue"":""5""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""42s""}]}}. Escalating to be safe."
"I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?","","Visa","Escalate to a human","","escalated","product_issue","Classifier failed: {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 41.189289242s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-2.5-flash""},""quotaValue"":""5""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""41s""}]}}. Escalating to be safe."
"Where can I report a lost or stolen Visa card from India?","Card stolen","Visa","Escalate to a human","","escalated","product_issue","Classifier failed: {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 40.311278058s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-2.5-flash""},""quotaValue"":""5""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""40s""}]}}. Escalating to be safe."
"Thank you for helping me","","None","Happy to help","","replied","invalid","Greeting / thanks message — no action required."
